iter	RMSE
0	8552.845201
1	8101.868705
2	7710.173309
3	7362.588961
4	7065.684124
5	6813.326813
6	6596.446437
7	6385.985627
8	6213.568275
9	6061.164261
10	5934.020455
11	5819.377747
12	5708.54548
13	5614.559461
14	5533.745838
15	5443.321314
16	5371.301011
17	5306.727422
18	5238.918468
19	5188.684814
20	5136.153998
21	5092.586312
22	5049.253301
23	5006.181637
24	4971.246776
25	4933.385657
26	4905.411813
27	4877.035589
28	4838.363358
29	4805.857057
30	4777.992419
31	4758.253501
32	4739.008419
33	4713.851063
34	4692.008974
35	4675.813473
36	4656.047287
37	4642.296574
38	4624.526951
39	4607.687241
40	4582.608051
41	4561.455974
42	4544.414498
43	4523.412105
44	4512.421811
45	4496.731086
46	4482.332849
47	4467.843196
48	4453.135379
49	4439.453853
50	4429.071846
51	4411.012497
52	4397.777274
53	4385.114216
54	4370.87457
55	4361.976252
56	4350.472815
57	4341.612196
58	4331.645729
59	4322.519685
60	4312.423299
61	4299.484515
62	4289.500252
63	4282.699369
64	4275.390875
65	4268.055661
66	4260.975732
67	4253.416147
68	4247.937019
69	4236.732011
70	4229.257305
71	4222.029715
72	4209.744434
73	4203.135374
74	4194.476837
75	4186.252944
76	4177.118029
77	4171.923529
78	4162.357045
79	4151.890665
80	4144.7929
81	4137.960372
82	4133.952824
83	4125.692885
84	4117.413785
85	4111.676145
86	4102.218062
87	4096.864433
88	4090.967562
89	4084.401834
90	4080.729716
91	4075.493758
92	4069.490141
93	4061.918018
94	4056.438419
95	4050.990501
96	4046.26817
97	4040.469775
98	4035.308036
99	4028.723328
100	4021.974836
101	4016.89378
102	4012.410359
103	4007.028733
104	4000.32289
105	3994.727106
106	3989.590538
107	3984.343867
108	3979.213121
109	3969.051781
110	3962.327228
111	3957.219976
112	3947.620377
113	3943.60415
114	3939.427574
115	3935.437948
116	3930.051661
117	3924.209771
118	3919.276179
119	3915.25359
120	3909.288991
121	3907.438652
122	3901.812262
123	3895.698803
124	3891.980109
125	3887.91542
126	3879.31013
127	3874.981556
128	3869.837952
129	3864.270348
130	3859.861913
131	3856.780629
132	3851.012341
133	3847.744575
134	3843.120905
135	3837.285653
136	3833.889676
137	3826.325875
138	3822.934688
139	3817.332606
140	3812.774417
141	3808.397864
142	3804.906081
143	3801.534506
144	3798.554287
145	3796.290596
146	3791.25339
147	3787.979474
148	3782.815096
149	3778.226932
150	3774.426564
151	3771.38089
152	3767.460567
153	3763.898437
154	3756.98947
155	3754.57098
156	3750.510878
157	3746.94679
158	3741.176784
159	3736.874395
160	3734.633943
161	3731.316275
162	3727.197796
163	3724.902397
164	3721.470999
165	3717.785808
166	3713.763182
167	3710.651306
168	3706.893314
169	3703.020446
170	3700.814289
171	3696.061296
172	3692.880534
173	3690.296657
174	3687.399787
175	3683.385802
176	3680.466946
177	3678.474352
178	3674.488645
179	3668.933886
180	3666.545798
181	3663.872081
182	3660.05884
183	3657.746931
184	3654.836906
185	3652.798623
186	3649.899474
187	3645.967292
188	3643.254359
189	3640.328168
190	3637.494938
191	3635.50003
192	3633.00941
193	3630.161446
194	3628.013173
195	3626.344675
196	3620.034276
197	3616.845932
198	3614.4401
199	3607.482775
200	3604.655951
201	3602.214997
202	3600.429702
203	3597.47163
204	3595.182649
205	3591.585838
206	3589.761492
207	3587.65869
208	3585.89081
209	3582.560626
210	3580.059583
211	3577.452222
212	3572.440947
213	3570.691797
214	3568.319314
215	3565.283003
216	3563.581643
217	3561.011785
218	3559.605328
219	3557.566605
220	3555.227373
221	3552.035343
222	3550.30742
223	3546.712377
224	3544.113573
225	3541.746366
226	3539.54429
227	3537.792217
228	3536.309161
229	3533.75993
230	3531.394756
231	3529.04988
232	3527.352262
233	3523.187385
234	3519.781063
235	3517.24755
236	3514.77657
237	3513.600115
238	3510.309998
239	3508.82098
240	3505.629703
241	3503.426172
242	3501.448583
243	3498.608043
244	3494.155443
245	3490.718275
246	3489.009879
247	3488.116769
248	3486.223565
249	3484.687274
250	3483.098269
251	3481.013438
252	3479.753886
253	3477.722514
254	3474.019293
255	3472.236343
256	3470.173409
257	3467.519871
258	3466.135805
259	3464.074352
260	3462.060203
261	3459.630671
262	3458.780472
263	3455.575384
264	3453.200726
265	3451.7397
266	3450.354451
267	3448.335362
268	3446.46873
269	3444.248369
270	3443.029879
271	3440.715238
272	3438.609637
273	3436.499971
274	3434.942583
275	3431.781484
276	3429.148773
277	3426.031628
278	3424.427569
279	3422.260383
280	3420.038988
281	3418.946889
282	3416.7527
283	3415.38768
284	3413.014926
285	3410.248062
286	3408.577824
287	3406.971389
288	3405.046507
289	3399.079957
290	3397.485105
291	3396.097036
292	3394.364004
293	3392.779526
294	3391.113636
295	3389.524129
296	3387.459169
297	3385.558213
298	3383.824759
299	3381.470098
300	3379.69291
301	3378.261943
302	3376.707813
303	3375.221527
304	3372.561327
305	3370.205816
306	3368.786076
307	3367.564205
308	3362.61424
309	3361.194163
310	3356.372476
311	3354.877636
312	3352.560928
313	3351.376401
314	3350.257504
315	3348.477889
316	3346.798947
317	3345.618207
318	3344.239784
319	3342.802916
320	3340.927185
321	3340.295499
322	3338.955714
323	3337.703367
324	3336.26273
325	3335.149434
326	3333.88156
327	3332.246353
328	3330.948861
329	3329.827658
330	3328.800125
331	3327.005015
332	3325.976638
333	3323.834189
334	3321.451179
335	3320.148811
336	3318.180138
337	3316.885589
338	3315.446851
339	3313.711763
340	3311.966441
341	3309.896114
342	3307.94806
343	3306.681449
344	3305.505091
345	3304.218222
346	3301.943678
347	3300.662286
348	3299.18274
349	3297.53306
350	3296.401959
351	3294.96013
352	3293.722899
353	3291.727118
354	3290.308961
355	3288.658358
356	3287.263296
357	3285.645849
358	3284.372654
359	3283.253612
360	3281.910796
361	3280.847726
362	3279.475788
363	3277.462966
364	3275.865775
365	3275.047911
366	3274.125702
367	3273.23918
368	3272.180514
369	3270.982601
370	3269.275065
371	3267.984362
372	3263.335468
373	3262.133716
374	3260.522921
375	3258.713212
376	3257.592107
377	3256.194105
378	3254.200659
379	3253.374653
380	3252.158849
381	3250.748861
382	3249.444868
383	3247.504699
384	3246.567888
385	3245.434992
386	3244.365458
387	3242.118037
388	3240.941275
389	3239.542915
390	3238.588132
391	3236.791592
392	3235.208277
393	3233.677464
394	3232.699152
395	3231.225499
396	3229.931379
397	3228.582388
398	3227.086962
399	3226.045669
400	3224.853115
401	3223.399418
402	3222.302199
403	3221.110171
404	3219.487629
405	3218.151279
406	3217.118215
407	3216.053945
408	3215.051609
409	3214.061251
410	3212.791781
411	3211.185267
412	3210.413387
413	3208.915222
414	3207.54414
415	3206.33273
416	3204.920946
417	3203.851263
418	3202.74782
419	3201.68534
420	3200.49816
421	3199.26677
422	3197.736308
423	3195.842304
424	3194.966048
425	3194.230307
426	3192.847592
427	3192.186058
428	3190.957009
429	3189.733182
430	3188.479599
431	3186.904559
432	3185.948348
433	3184.983109
434	3184.391208
435	3183.650026
436	3182.6868
437	3181.551177
438	3178.74136
439	3178.115647
440	3177.208548
441	3175.967469
442	3174.280405
443	3172.427442
444	3171.378748
445	3170.338406
446	3169.458907
447	3168.483149
448	3166.27839
449	3165.038904
450	3164.488936
451	3163.685285
452	3162.23651
453	3160.904605
454	3160.442229
455	3158.705945
456	3157.182041
457	3156.327451
458	3155.330166
459	3154.18299
460	3153.37289
461	3152.588433
462	3148.836472
463	3147.25909
464	3146.324381
465	3144.953214
466	3143.384436
467	3142.13681
468	3140.95742
469	3137.11539
470	3135.50117
471	3133.906829
472	3133.396672
473	3132.489166
474	3131.474825
475	3130.174417
476	3129.372772
477	3128.478163
478	3127.490633
479	3127.035087
480	3126.618147
481	3125.18162
482	3123.606107
483	3122.915814
484	3121.938898
485	3121.241533
486	3120.116724
487	3119.330834
488	3118.079815
489	3117.229564
490	3115.982541
491	3114.513083
492	3113.599278
493	3112.90266
494	3112.000696
495	3110.68714
496	3109.749375
497	3108.537201
498	3107.882312
499	3106.438643
500	3105.93787
501	3104.774314
502	3103.784385
503	3103.006371
504	3102.422347
505	3101.345679
506	3100.29208
507	3099.330557
508	3098.234051
509	3096.911105
510	3096.081783
511	3094.761728
512	3093.473918
513	3091.415459
514	3090.266462
515	3089.83851
516	3087.898761
517	3087.099209
518	3086.255452
519	3085.120375
