iter	Passed	Remaining
0	21	21952
1	48	24063
2	66	22047
3	85	21377
4	104	20804
5	123	20516
6	145	20678
7	165	20485
8	183	20174
9	201	19921
10	218	19649
11	236	19507
12	256	19444
13	273	19274
14	293	19256
15	310	19087
16	328	19013
17	346	18913
18	364	18823
19	380	18667
20	396	18500
21	411	18305
22	426	18125
23	443	18033
24	459	17921
25	476	17837
26	492	17743
27	509	17678
28	523	17528
29	538	17396
30	553	17309
31	566	17134
32	580	17003
33	592	16837
34	606	16716
35	620	16617
36	635	16539
37	650	16465
38	665	16392
39	680	16332
40	695	16276
41	711	16222
42	726	16172
43	740	16083
44	756	16046
45	772	16020
46	786	15947
47	801	15895
48	817	15863
49	832	15820
50	846	15756
51	861	15706
52	876	15661
53	892	15627
54	908	15607
55	923	15567
56	939	15541
57	955	15516
58	971	15496
59	989	15504
60	1005	15485
61	1021	15457
62	1037	15437
63	1055	15429
64	1070	15393
65	1087	15396
66	1104	15381
67	1120	15363
68	1137	15347
69	1156	15362
70	1173	15354
71	1188	15318
72	1203	15288
73	1219	15256
74	1235	15233
75	1252	15222
76	1269	15212
77	1286	15201
78	1302	15183
79	1317	15155
80	1334	15145
81	1351	15129
82	1367	15109
83	1383	15090
84	1402	15092
85	1419	15084
86	1435	15066
87	1453	15060
88	1469	15040
89	1483	15000
90	1497	14959
91	1512	14931
92	1529	14913
93	1544	14888
94	1559	14860
95	1578	14864
96	1594	14846
97	1610	14822
98	1625	14790
99	1639	14756
100	1654	14727
101	1671	14711
102	1685	14680
103	1700	14652
104	1715	14620
105	1730	14593
106	1744	14559
107	1760	14540
108	1775	14517
109	1789	14482
110	1805	14463
111	1820	14435
112	1835	14406
113	1851	14387
114	1865	14356
115	1881	14339
116	1899	14337
117	1915	14315
118	1931	14302
119	1948	14285
120	1964	14268
121	1978	14235
122	1995	14224
123	2012	14220
124	2028	14201
125	2045	14187
126	2060	14166
127	2078	14157
128	2093	14138
129	2110	14124
130	2126	14105
131	2142	14089
132	2158	14071
133	2173	14048
134	2192	14048
135	2209	14038
136	2228	14035
137	2243	14014
138	2259	13993
139	2275	13980
140	2294	13980
141	2311	13965
142	2326	13941
143	2342	13923
144	2358	13909
145	2384	13944
146	2438	14150
147	2461	14172
148	2478	14158
149	2494	14135
150	2509	14110
151	2524	14084
152	2537	14046
153	2552	14022
154	2568	14002
155	2582	13972
156	2599	13955
157	2614	13932
158	2629	13909
159	2645	13891
160	2660	13864
161	2675	13841
162	2694	13833
163	2709	13812
164	2725	13793
165	2741	13774
166	2757	13753
167	2772	13731
168	2788	13710
169	2801	13679
170	2815	13648
171	2830	13625
172	2847	13612
173	2863	13591
174	2879	13575
175	2896	13560
176	2912	13543
177	2928	13523
178	2944	13505
179	2962	13493
180	2979	13482
181	2997	13471
182	3015	13460
183	3030	13439
184	3046	13419
185	3065	13416
186	3082	13399
187	3099	13387
188	3116	13372
189	3131	13350
190	3149	13340
191	3165	13323
192	3182	13306
193	3197	13286
194	3211	13256
195	3226	13236
196	3243	13219
197	3261	13210
198	3278	13198
199	3295	13182
200	3313	13170
201	3328	13150
202	3344	13129
203	3360	13111
204	3377	13097
